action_taken,All,,,,,,action_taken,All
,,,,,,,,
Count of loan_amount,Column Labels,,,,,,Income ($1k),Count of income
Row Labels,Cash-out refinancing,Home improvement,Home purchase,Other purpose,Refinancing,,$80.00,845
"$55,000",333,773,254,721,250,,$60.00,811
"$45,000",314,675,128,655,240,,$90.00,810
"$65,000",244,500,318,445,228,,$75.00,772
"$35,000",134,759,92,774,216,,$85.00,765
"$85,000",197,282,417,304,205,,$70.00,748
"$75,000",220,420,367,406,205,,$100.00,732
"$95,000",170,174,454,208,196,,$65.00,728
"$105,000",254,263,716,239,181,,$62.00,722
"$125,000",233,107,879,103,143,,$67.00,715
"$25,000",95,753,49,631,133,,$83.00,704
"$155,000",270,123,1116,105,124,,$72.00,672
"$115,000",182,73,659,83,120,,$78.00,670
"$135,000",228,61,883,56,109,,$73.00,668
"$175,000",214,32,1225,30,104,,$58.00,657
"$205,000",251,52,1610,64,103,,$77.00,649
"$165,000",229,27,1233,38,97,,$76.00,643
"$145,000",202,51,1004,42,87,,$82.00,639
"$195,000",184,14,1331,23,84,,$68.00,637
"$185,000",262,21,1365,36,80,,$92.00,633
"$215,000",233,12,1503,13,75,,$71.00,632
"$255,000",204,27,1714,51,67,,$81.00,629
"$245,000",213,12,1764,17,67,,$52.00,628
"$15,000",34,440,1469,283,63,,$89.00,628
"$225,000",219,16,1650,29,62,,$88.00,626
"$305,000",134,15,1748,28,58,,$94.00,622
"$265,000",165,5,1737,17,57,,$87.00,617
"$235,000",171,7,1517,15,52,,$84.00,617
"$325,000",85,3,1522,12,49,,$64.00,615
"$285,000",145,6,1687,15,47,,$79.00,607
"$295,000",89,,1575,10,44,,$66.00,607
"$355,000",78,6,1255,10,40,,$93.00,600
"$275,000",155,5,1677,15,37,,$86.00,593
"$365,000",63,,1230,5,34,,$74.00,589
"$345,000",64,3,1392,11,31,,$69.00,584
"$395,000",34,4,841,7,30,,$96.00,581
"$405,000",56,4,936,11,28,,$91.00,578
"$725,000",14,,369,4,28,,$50.00,571
"$335,000",69,5,1405,2,27,,$110.00,568
"$375,000",49,1,1037,4,26,,$63.00,566
"$315,000",87,2,1530,5,23,,$55.00,564
"$415,000",31,,693,6,23,,$56.00,563
"$385,000",47,,1020,2,20,,$61.00,560
"$455,000",30,3,548,4,18,,$57.00,555
"$435,000",24,,571,1,18,,$95.00,553
"$445,000",25,,634,2,17,,$59.00,538
"$425,000",31,1,702,6,16,,$98.00,536
"$475,000",22,1,492,2,16,,$125.00,535
"$485,000",21,,439,5,15,,$120.00,533
"$615,000",6,,166,,14,,$99.00,531
"$495,000",12,1,368,,14,,$105.00,519
"$605,000",9,3,205,4,13,,$54.00,513
"$505,000",24,1,419,9,13,,$115.00,511
"$645,000",6,,147,1,11,,$102.00,508
"$575,000",5,1,202,1,10,,$53.00,506
"$525,000",10,,410,2,9,,$97.00,487
"$655,000",7,,139,4,9,,$109.00,486
"$515,000",18,,351,6,9,,$106.00,482
"$465,000",21,,465,,9,,$103.00,478
"$555,000",11,1,263,2,8,,$104.00,475
"$675,000",1,,125,,7,,$130.00,473
"$565,000",7,1,213,2,7,,$101.00,472
"$945,000",,,9,1,6,,$113.00,471
"$5,000",2,57,190,19,6,,$108.00,464
"$585,000",5,,223,1,6,,$112.00,458
"$545,000",15,,285,2,6,,$48.00,457
"$535,000",4,,274,,5,,$111.00,450
"$705,000",4,,107,,5,,$107.00,444
"$635,000",3,2,149,1,5,,$51.00,436
"$685,000",3,,95,,5,,$116.00,435
"$595,000",4,1,184,,4,,$49.00,434
"$1,505,000",1,1,10,,4,,$46.00,431
"$625,000",4,,170,1,4,,$114.00,431
"$665,000",1,,107,,4,,$118.00,429
"$695,000",1,,111,,4,,$135.00,417
"$715,000",3,,95,1,4,,$122.00,417
"$975,000",1,1,14,1,3,,$117.00,407
"$875,000",1,,21,,3,,$128.00,401
"$1,005,000",,1,52,5,3,,$150.00,393
"$835,000",,,21,1,3,,$47.00,388
"$995,000",,,24,1,3,,$126.00,386
"$1,095,000",,,6,,2,,$124.00,386
"$1,205,000",2,,16,,2,,$42.00,384
"$1,135,000",,,13,,2,,$119.00,382
"$1,735,000",,,,,2,,$44.00,375
"$1,385,000",,,5,,2,,$121.00,369
"$965,000",,,20,,2,,$127.00,367
"$1,125,000",,,15,,2,,$45.00,362
"$855,000",,,39,1,2,,$123.00,361
"$1,525,000",,,2,,2,,$134.00,349
"$765,000",,,37,1,2,,$140.00,347
"$1,305,000",,,13,1,2,,$129.00,339
"$865,000",,,19,,2,,$145.00,335
"$825,000",3,,28,,2,,$138.00,330
"$1,015,000",,,6,,2,,$132.00,328
"$1,605,000",,,5,,2,,$43.00,326
"$2,125,000",,,2,,2,,$139.00,317
"$1,905,000",,,4,,2,,$137.00,311
"$745,000",,1,34,,2,,$136.00,310
"$755,000",1,2,56,8,2,,$131.00,309
"$1,175,000",,,6,,2,,$133.00,306
"$815,000",1,,21,,1,,$141.00,301
"$2,205,000",,,1,,1,,$144.00,299
"$1,925,000",,,2,1,1,,$142.00,292
"$795,000",,,30,,1,,$143.00,289
"$3,055,000",,,,,1,,$41.00,286
"$1,045,000",,,16,,1,,$146.00,285
"$1,645,000",,,3,,1,,$147.00,284
"$1,065,000",,,14,,1,,$160.00,279
"$2,005,000",,,9,,1,,$152.00,268
"$1,085,000",,,13,,1,,$40.00,267
"$2,605,000",1,,1,,1,,$155.00,266
"$805,000",2,1,42,2,1,,$158.00,262
"$1,465,000",,,4,,1,,$39.00,260
"$895,000",1,,21,,1,,$148.00,257
"$1,535,000",,,1,,1,,$151.00,256
"$1,155,000",,,7,,1,,$165.00,253
"$775,000",1,,19,,1,,$153.00,251
"$915,000",,,11,,1,,$37.00,250
"$1,935,000",,,1,,1,,$170.00,245
"$1,235,000",,,3,,1,,$149.00,242
"$845,000",,1,28,,1,,$161.00,239
"$1,295,000",,,7,,1,,$38.00,236
"$2,555,000",,,1,,1,,$156.00,228
"$1,335,000",,,3,,1,,$175.00,227
"$2,915,000",,,,,1,,$154.00,227
"$1,365,000",,,5,,1,,$163.00,224
"$935,000",,,17,,1,,$157.00,224
