LEI ,Financial Institution,,Need Financial Institutions
5493003EW6T31TGECO83,First National Bank,,549300TLO48M0X8Z5B67
549300XOTES5TCS8T794,"First Mid Bank & Trust, National Association",,549300T61O0X0RJMQ375
5493003XLOX5FDT9R120,"First Hope Bank, A National Banking Association",,254900R1W1FMZ4RIZ113
5493002GOGIUXB84JB89,First National Bank of Waterloo,,5493005EYZOUVJUXAX38
549300OULGV8ZW0JV320,Cumberland Valley National Bank & Trust Company,,5493001X0T84TYRJ5Y59
254900Q6IHGQO7INVC79,The Lyons National Bank,,549300Y5Y88FQLI7VE83
2549002IXACRD1HE6A92,"Midstates Bank, National Association",,549300YVBUEC0SGSZW55
5493000LJB0L73TDJT41,First National Bank of North Arkansas,,549300BTD4RDILZY5V14
549300OIJZOV6CPR1Y57,"First National Bank, Ames, Iowa",,549300ZQ87KRTMFMIK55
54930031J0Z4IG9PQZ65,"Texas Gulf Bank, National Association",,549300PL267CW8182203
54930035C68SRQ1RS395,First National Bank,,549300HRLROF7PLJ6735
549300RM1IZYGQDSNL85,"Texana Bank, National Association",,549300C04BJ0G297NC13
2549008EFPQHWHJ5MO60,The Conway National Bank,,254900SUZ313OILKVD67
549300U852CO3ZPGIE54,"BTH Bank, National Association",,8945000AM2179BQQ2C24
549300X0240UXBEJNV56,First National Bank of South Carolina,,549300ANF834QIIFUE57
549300JYEEYQ3BXVCX06,The Citizens National Bank,,549300KW3HYVC06WS898
549300SF1PZFMR2YDI96,"FIRST NATIONAL BANK OF WYNNE, THE",,549300W45D2J6BT4LX65
2549009DWV1Z50JILS65,The First National Bank of Groton,,549300GTVXJ2PGXNLM73
254900R1UY5PAEIHXX38,Skyline National Bank,,549300Z4ZK628DTL4L52
549300DY5ZVXIORLFC39,"Bank of Bridger, National Association",,549300JLXD89NGKXMS84
549300OZZQ1ZON9W1K45,The First National Bank of Ava,,54930059GZZ7G4G40O53
549300E8JTSHNU1K4K92,The First National Bank and Trust Company of Okmulgee,,25490099UNYWX2PZ4J91
549300LFR4FQMI48MF92,The First National Bank of Tom Bean,,549300BX448ALT10FI43
